year	term	absolute_frequency	relative_frequency_per_million
1990	klimaskeptiker	0	0.0
1990	klimawandelskeptiker	0	0.0
1990	klimaleugner	0	0.0
1990	klimawandelleugner	0	0.0
1991	klimaskeptiker	0	0.0
1991	klimawandelskeptiker	0	0.0
1991	klimaleugner	0	0.0
1991	klimawandelleugner	0	0.0
1992	klimawandelleugner	0	0.0
1992	klimaleugner	0	0.0
1992	klimaskeptiker	0	0.0
1992	klimawandelskeptiker	0	0.0
1993	klimaskeptiker	0	0.0
1993	klimawandelskeptiker	0	0.0
1993	klimaleugner	0	0.0
1993	klimawandelleugner	0	0.0
1994	klimawandelleugner	0	0.0
1994	klimaleugner	0	0.0
1994	klimaskeptiker	0	0.0
1994	klimawandelskeptiker	0	0.0
1995	klimaskeptiker	1	0.12305272144629277
1995	klimawandelskeptiker	0	0.0
1995	klimaleugner	0	0.0
1995	klimawandelleugner	0	0.0
1996	klimaskeptiker	0	0.0
1996	klimawandelskeptiker	0	0.0
1996	klimaleugner	0	0.0
1996	klimawandelleugner	0	0.0
1997	klimaskeptiker	0	0.0
1997	klimawandelskeptiker	0	0.0
1997	klimaleugner	0	0.0
1997	klimawandelleugner	0	0.0
1998	klimawandelleugner	0	0.0
1998	klimaleugner	0	0.0
1998	klimaskeptiker	0	0.0
1998	klimawandelskeptiker	0	0.0
1999	klimaskeptiker	0	0.0
1999	klimawandelskeptiker	0	0.0
1999	klimaleugner	0	0.0
1999	klimawandelleugner	0	0.0
2000	klimaskeptiker	0	0.0
2000	klimawandelskeptiker	0	0.0
2000	klimaleugner	0	0.0
2000	klimawandelleugner	0	0.0
2001	klimaskeptiker	0	0.0
2001	klimawandelskeptiker	0	0.0
2001	klimaleugner	0	0.0
2001	klimawandelleugner	0	0.0
2002	klimaleugner	0	0.0
2002	klimawandelleugner	0	0.0
2002	klimawandelskeptiker	0	0.0
2002	klimaskeptiker	0	0.0
2003	klimaskeptiker	5	0.7742369855795265
2003	klimawandelskeptiker	0	0.0
2003	klimaleugner	0	0.0
2003	klimawandelleugner	0	0.0
2004	klimaskeptiker	1	0.1438535547795775
2004	klimawandelskeptiker	0	0.0
2004	klimaleugner	0	0.0
2004	klimawandelleugner	0	0.0
2005	klimaskeptiker	7	0.8903404547426592
2005	klimawandelskeptiker	0	0.0
2005	klimaleugner	0	0.0
2005	klimawandelleugner	0	0.0
2006	klimawandelleugner	0	0.0
2006	klimaleugner	0	0.0
2006	klimawandelskeptiker	0	0.0
2006	klimaskeptiker	9	1.132499553606426
2007	klimaskeptiker	48	4.9760661584582655
2007	klimawandelskeptiker	0	0.0
2007	klimaleugner	3	0.3110041349036416
2007	klimawandelleugner	1	0.10366804496788053
2008	klimaskeptiker	3	0.32407616956659024
2008	klimawandelskeptiker	1	0.10802538985553009
2008	klimaleugner	2	0.21605077971106018
2008	klimawandelleugner	0	0.0
2009	klimaskeptiker	43	5.103955708109758
2009	klimawandelskeptiker	0	0.0
2009	klimaleugner	2	0.23739328874929108
2009	klimawandelleugner	0	0.0
2010	klimawandelleugner	0	0.0
2010	klimaleugner	6	0.637210411763244
2010	klimawandelskeptiker	0	0.0
2010	klimaskeptiker	41	4.354271147048834
2011	klimaskeptiker	13	1.241614446432407
2011	klimawandelskeptiker	1	0.09550880357172363
2011	klimaleugner	2	0.19101760714344726
2011	klimawandelleugner	1	0.09550880357172363
2012	klimaskeptiker	53	5.9697908309194165
2012	klimawandelskeptiker	0	0.0
2012	klimaleugner	1	0.11263756284753616
2012	klimawandelleugner	2	0.22527512569507233
2013	klimaskeptiker	25	2.78890675524532
2013	klimawandelskeptiker	3	0.33466881062943843
2013	klimaleugner	5	0.557781351049064
2013	klimawandelleugner	1	0.11155627020981279
2014	klimaleugner	6	0.7273610685806932
2014	klimawandelleugner	2	0.2424536895268977
2014	klimaskeptiker	19	2.3033100505055284
2014	klimawandelskeptiker	1	0.12122684476344885
2015	klimaskeptiker	23	2.580276033442621
2015	klimawandelskeptiker	1	0.11218591449750527
2015	klimaleugner	4	0.4487436579900211
2015	klimawandelleugner	5	0.5609295724875264
2016	klimaskeptiker	14	1.5663813391173083
2016	klimawandelskeptiker	2	0.22376876273104404
2016	klimaleugner	5	0.5594219068276101
2016	klimawandelleugner	6	0.6713062881931322
2017	klimaskeptiker	22	2.2961146713064884
2017	klimawandelskeptiker	7	0.7305819408702463
2017	klimaleugner	23	2.4004835200022376
2017	klimawandelleugner	16	1.6699015791319916
2018	klimawandelleugner	12	1.1694251456811375
2018	klimaleugner	34	3.313371246096556
2018	klimaskeptiker	10	0.9745209547342814
2018	klimawandelskeptiker	4	0.38980838189371253
2019	klimaskeptiker	21	1.6122102973253585
2019	klimawandelskeptiker	3	0.2303157567607655
2019	klimaleugner	40	3.0708767568102067
2019	klimawandelleugner	21	1.6122102973253585
2020	klimawandelleugner	13	1.174919800426315
2020	klimaleugner	42	3.795894739838864
2020	klimaskeptiker	6	0.5422706771198377
2020	klimawandelskeptiker	3	0.27113533855991884
2021	klimaskeptiker	4	0.2924073222302374
2021	klimawandelskeptiker	4	0.2924073222302374
2021	klimaleugner	14	1.0234256278058311
2021	klimawandelleugner	8	0.5848146444604748
2022	klimaleugner	0	0.0
2022	klimaskeptiker	0	0.0
2022	klimawandelskeptiker	0	0.0
2022	klimawandelleugner	1	0.19437770270047
